long_name,original_FIP
"KS, Edwards County",G2000470
"KS, Elk County",G2000490
"KS, Ellis County",G2000510
"KS, Ellsworth County",G2000530
"KS, Finney County",G2000550
"KS, Ford County",G2000570
"KS, Franklin County",G2000590
"KS, Geary County",G2000610
"KS, Gove County",G2000630
"KS, Graham County",G2000650
"KS, Grant County",G2000670
"KS, Gray County",G2000690
"KS, Greeley County",G2000710
"KS, Greenwood County",G2000730
"KS, Hamilton County",G2000750
"KS, Harper County",G2000770
"KS, Harvey County",G2000790
"KS, Haskell County",G2000810
"KS, Hodgeman County",G2000830
"KS, Jackson County",G2000850
"KS, Jefferson County",G2000870
"KS, Jewell County",G2000890
"KS, Johnson County",G2000910
"KS, Kearny County",G2000930
"KS, Kingman County",G2000950
"KS, Kiowa County",G2000970
"KS, Labette County",G2000990
"KS, Lane County",G2001010
"KS, Leavenworth County",G2001030
"KS, Lincoln County",G2001050
"KS, Linn County",G2001070
"KS, Logan County",G2001090
"KS, Lyon County",G2001110
"KS, McPherson County",G2001130
"KS, Marion County",G2001150
"KS, Marshall County",G2001170
"KS, Meade County",G2001190
"KS, Miami County",G2001210
"KS, Mitchell County",G2001230
"KS, Montgomery County",G2001250
"KS, Morris County",G2001270
"KS, Morton County",G2001290
"KS, Nemaha County",G2001310
"KS, Neosho County",G2001330
"KS, Ness County",G2001350
"KS, Norton County",G2001370
"KS, Osage County",G2001390
"KS, Osborne County",G2001410
"KS, Ottawa County",G2001430
"KS, Pawnee County",G2001450
